Sf Course C ID,Sf Course C Name,Sf Course C Course Start Date C Date,Sf Course C Course End Date C Date,Sf Course C Final Grade C
a1C36000004tCkGEAU,Applying Leadership Principles,8/14/2017,10/8/2017,F
a1C36000003v7iREAQ,Applying Leadership Principles,8/14/2017,10/8/2017,B
a1C36000004tDfgEAE,Communication in the Global Information Age,8/14/2017,10/8/2017,A
a1C36000003AQkKEAW,Intervention Methods in Human Services,8/14/2017,10/8/2017,F
a1C36000004tCHgEAM,Introduction to Political Science (GT-SS1),8/14/2017,10/8/2017,A-
a1C36000003AVUNEA4,Project Management,8/14/2017,10/8/2017,
a1C36000004tb26EAA,"Race, Gender and Ethnic Relations in the US",8/14/2017,10/8/2017,C
a1C36000003vJVtEAM,Applied Organizational Psychology,8/14/2017,10/8/2017,
a1C36000004tCkBEAU,Applied Organizational Psychology,8/14/2017,10/8/2017,A
a1C36000004tDfbEAE,Research and Writing for the Communication Professional,8/14/2017,10/8/2017,A
a1C36000004tSSeEAM,U.S. History I (GT-HI1),8/14/2017,10/8/2017,A-
a1C36000005keYxEAI,Practice Course,8/14/2017,10/9/2017,
a1C36000004tqZTEAY,Term 1,8/14/2017,2/14/2018,
a1C36000004u006EAA,Decision Making in Bus Envir,8/10/2017,9/20/2017,
a1C36000004u040EAA,Decision Making in Bus Envir,8/10/2017,9/20/2017,A
a1C36000004u01lEAA,Decision Making in Bus Envir,8/10/2017,9/20/2017,B+
a1C36000004u07hEAA,Decision Making in Bus Envir,8/10/2017,9/20/2017,
a1C36000004tzz8EAA,Decision Making in Bus Envir,8/10/2017,9/20/2017,B+
a1C36000004tzyQEAQ,Decision Making in Bus Envir,8/10/2017,9/20/2017,B
a1C36000004u01BEAQ,Decision Making in Bus Envir,8/10/2017,9/20/2017,W
a1C36000004u03jEAA,Decision Making in Bus Envir,8/10/2017,9/20/2017,B+
a1C36000004u0AvEAI,Decision Making in Bus Envir,8/10/2017,9/20/2017,B-
a1C36000004u043EAA,Decision Making in Bus Envir,8/10/2017,9/20/2017,
a1C36000004u0CcEAI,Decision Making in Bus Envir,8/10/2017,9/20/2017,
a1C36000004u0D8EAI,Decision Making in Bus Envir,8/10/2017,9/20/2017,B+
a1C36000004u0CpEAI,Decision Making in Bus Envir,8/10/2017,9/20/2017,A-
a1C36000004tzxxEAA,Decision Making in Bus Envir,8/10/2017,9/20/2017,A
a1C36000004u0BKEAY,Decision Making in Bus Envir,8/10/2017,9/20/2017,
a1C36000004spT9EAI,Management Training Program - 16 Week,8/9/2017,12/1/2017,
a1C36000004t8naEAA,Management Training Program - 16 Week,8/9/2017,12/1/2017,
a1C36000004tCKzEAM,Management Training Program - 16 Week,8/9/2017,12/1/2017,
a1C36000004jotyEAA,Advanced Writing for English Language Learners,8/9/2017,10/6/2017,
a1C36000004u0BgEAI,"Recruitment, Selection & Place",8/2/2017,9/12/2017,
a1C36000004u0CREAY,"Recruitment, Selection & Place",8/2/2017,9/12/2017,B-
a1C36000003ux3nEAA,Term 3,8/1/2017,11/10/2017,Passed
a1C36000004tDlpEAE,High School Completion Program,8/1/2017,9/4/2017,Passed
a1C36000003uwxTEAQ,Term 3,8/1/2017,1/31/2018,Passed
a1C36000004NJduEAG,Term 1,8/1/2017,1/31/2018,Passed
a1C36000004tbaAEAQ,Term 3,8/1/2017,1/31/2018,Passed
a1C36000004tHmiEAE,High School Completion Program,8/1/2017,9/4/2017,Passed
a1C36000004tDvkEAE,Term 3,8/1/2017,1/31/2018,Passed
a1C36000004tuwxEAA,Term 1,8/1/2017,1/31/2018,Passed
a1C36000004tDvfEAE,Term 3,8/1/2017,2/1/2018,
a1C36000004tCuBEAU,Spanish I Intensive,7/26/2017,10/20/2017,A
a1C36000004t15BEAQ,"High School Equivalency Program, GED Prep - English Language Arts",7/26/2017,10/20/2017,F
a1C36000004tFArEAM,Spanish I Intensive,7/26/2017,10/20/2017,
a1C36000004t19IEAQ,Penn Foster High School,7/26/2017,8/25/2017,
a1C36000004tJTMEA2,Spanish I Intensive,7/26/2017,10/20/2017,A
a1C36000004t5wpEAA,Personal Finance - 12 Weeks,7/26/2017,10/20/2017,
a1C36000004t2lwEAA,"High School Equivalency Program, GED Prep - English Language Arts",7/26/2017,10/20/2017,
a1C36000004tErUEAU,Spanish I Intensive,7/26/2017,10/20/2017,
a1C36000004t5wkEAA,Personal Finance - 12 Weeks,7/26/2017,10/20/2017,
a1C36000004tHX0EAM,Spanish I Intensive,7/26/2017,10/20/2017,F
a1C36000004tD2tEAE,Spanish I Intensive,7/26/2017,10/20/2017,B
a1C36000004tHcuEAE,"High School Equivalency Program, GED Prep - English Language Arts",7/26/2017,9/20/2017,F
a1C36000004tDluEAE,High School Completion Program,7/26/2017,9/4/2017,Passed
a1C36000004tHi7EAE,High School Completion Program,7/26/2017,11/21/2017,Passed
a1C36000004tEs8EAE,Spanish I Intensive,7/26/2017,10/20/2017,A
a1C36000004tCB3EAM,"High School Equivalency Program, GED Prep - Math",7/26/2017,,
a1C36000004tFBaEAM,Spanish I Intensive,7/26/2017,10/20/2017,F
a1C36000004tCx5EAE,High School Completion Program,7/26/2017,9/4/2017,Passed
a1C36000004tHXAEA2,Spanish I Intensive,7/26/2017,10/20/2017,A
a1C36000004tJTbEAM,Spanish I Intensive,7/26/2017,10/20/2017,C
a1C36000004t5WKEAY,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004t6paEAA,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004tD0OEAU,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004t7PNEAY,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,D
a1C36000004tDyAEAU,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004tHXoEAM,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004tHs5EAE,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004tJTqEAM,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004tDyKEAU,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004tJUjEAM,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,A
a1C36000004tJUAEA2,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,F
a1C36000004tF8WEAU,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004tJc5EAE,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004tHc6EAE,Personal Finance - 12 Weeks,7/25/2017,10/20/2017,
a1C36000004tCLOEA2,Management Training Program - 16 Week,7/19/2017,11/10/2017,C
a1C36000004tCMgEAM,Management Training Program - 16 Week,7/19/2017,11/10/2017,C
a1C36000004tCjwEAE,"High School Equivalency Program, GED Prep - English Language Arts",7/19/2017,9/15/2017,A
a1C36000004u04OEAQ,Operations Management,7/18/2017,8/28/2017,B+
a1C36000003uyhBEAQ,Effective Labor Management,7/17/2017,9/10/2017,A
a1C36000004tCGxEAM,Managing and Leading Team Dynamics,7/17/2017,9/10/2017,B
a1C36000003v7igEAA,Principles of Management,7/17/2017,9/10/2017,A
a1C36000004tCHHEA2,Principles of Management,7/17/2017,9/10/2017,D
a1C36000004joB6EAI,Personal Selling and Sales Management,7/17/2017,9/10/2017,
a1C36000004tCk6EAE,Mathematical Explorations (GT-MA1),7/17/2017,9/10/2017,D
a1C36000004tCGsEAM,International and Multi-Cultural Marketing,7/17/2017,9/10/2017,C+
a1C36000004tCHCEA2,Introduction to Marketing,7/17/2017,9/10/2017,C+
a1C36000004tCHWEA2,U.S. History I (GT-HI1),7/17/2017,9/10/2017,F
a1C36000004tCk1EAE,Consumer Behavior,7/17/2017,9/10/2017,C
a1C36000003AQkFEAW,The Legal and Ethical Environment of Business,7/17/2017,9/10/2017,A
a1C36000003vINREA2,Principles of Accounting I,7/17/2017,9/10/2017,WA
a1C36000003v8fxEAA,"Project Metrics, Monitoring, and Control",7/17/2017,9/10/2017,A-
a1C360000020WlWEAU,Decision Theory in a Global Marketplace,7/17/2017,9/10/2017,
a1C36000004siX7EAI,Project Management,7/17/2017,9/10/2017,A
a1C36000004tCH7EAM,Composition II (GT-CO2),7/17/2017,9/10/2017,A
a1C36000004tCHREA2,The Legal and Ethical Environment of Business,7/17/2017,9/10/2017,A
a1C36000004joBBEAY,Promotion and Public Relations,7/17/2017,9/10/2017,C
a1C36000004tCH2EAM,Analyzing Financial Statements,7/17/2017,9/10/2017,A-
a1C36000004tCHMEA2,Promotion and Public Relations,7/17/2017,9/10/2017,W
a1C36000004sz3OEAQ,Personal Finance,7/15/2017,11/15/2017,
a1C36000004t5PTEAY,Spanish I,7/15/2017,12/8/2017,Failed
a1C36000004t164EAA,Anatomy & Physiology II + Lab,7/15/2017,11/28/2017,Passed
a1C36000004t5POEAY,Personal Finance,7/15/2017,9/14/2017,Passed
a1C36000004tCFLEA2,College Algebra,7/15/2017,11/15/2017,
a1C36000004t7QBEAY,Term 1,7/14/2017,1/14/2018,
a1C36000003vFIqEAM,Management Training Program - 16 Week,7/12/2017,11/3/2017,
a1C36000003Ax77EAC,Developmental Writing - 8 Week,7/12/2017,9/8/2017,
a1C36000003vJ7QEAU,Management Training Program - 16 Week,7/12/2017,11/3/2017,
a1C36000004k4tJEAQ,Leadership Skills for Professionals,7/12/2017,9/8/2017,A
a1C36000003vLCEEA2,Introduction to English for Hospitality Employees,7/12/2017,8/25/2017,
a1C36000004sgkJEAQ,Leadership Skills for Professionals,7/12/2017,9/8/2017,B
a1C36000004shB7EAI,Developmental Writing - 8 Week,7/12/2017,9/8/2017,C
a1C36000004spP6EAI,Management Training Program - 16 Week,7/12/2017,11/20/2017,C-
a1C36000004sn3PEAQ,Leadership Skills for Professionals,7/12/2017,9/8/2017,F
a1C36000004sz39EAA,Leadership Skills for Professionals,7/12/2017,9/8/2017,B
a1C36000004sxffEAA,Management Training Program - 16 Week,7/12/2017,11/3/2017,C
a1C36000004t2kFEAQ,Introduction to English for Hospitality Employees,7/12/2017,8/25/2017,C
a1C36000004szyMEAQ,Student Success Skills for Online Learning,7/12/2017,8/11/2017,
a1C36000005lRntEAE,Basic English for Everyday Interactions,7/12/2017,8/25/2017,
a1C36000004t0KKEAY,Leadership Skills for Professionals,7/12/2017,9/8/2017,A
a1C36000003vCW4EAM,Management Training Program - 16 Week,7/12/2017,11/3/2017,A
a1C36000004t3HREAY,Introduction to English for Hospitality Employees,7/12/2017,8/25/2017,B
a1C36000003vMBLEA2,Leadership Skills for Professionals,7/12/2017,9/8/2017,D
a1C36000005lu9XEAQ,GED Math,7/12/2017,9/13/2017,Failed
a1C360000043psjEAA,Advanced Writing for English Language Learners,7/12/2017,9/8/2017,
a1C36000003vLCYEA2,Developmental Writing - 8 Week,7/12/2017,9/8/2017,
a1C36000004jlhLEAQ,Basic English for Everyday Interactions,7/12/2017,8/25/2017,
a1C36000004u06REAQ,Web Design Basics,7/12/2017,8/22/2017,
a1C36000004k5MBEAY,Basic English for Everyday Interactions,7/12/2017,8/25/2017,
a1C36000003Ax48EAC,Developmental Writing - 8 Week,7/12/2017,9/8/2017,
a1C36000004sgw5EAA,Intermediate English for Hospitality Employees,7/12/2017,8/25/2017,C
a1C36000003uxowEAA,Leadership Skills for Professionals,7/12/2017,9/8/2017,F
a1C36000004slOFEAY,Intermediate English for Hospitality Employees,7/12/2017,8/25/2017,D
a1C360000043qUBEAY,Student Success Skills for Online Learning,7/12/2017,8/11/2017,
a1C36000004soJUEAY,Leadership Skills for Professionals,7/12/2017,9/8/2017,B
a1C36000004jj7nEAA,"High School Equivalency Program, GED Prep - Science",7/12/2017,9/8/2017,
a1C36000004sz3TEAQ,"High School Equivalency Program, GED Prep - English Language Arts",7/12/2017,10/20/2017,Passed
a1C36000004k3ufEAA,Introduction to English for Hospitality Employees,7/12/2017,8/25/2017,
a1C36000004szKgEAI,Developmental Writing - 8 Week,7/12/2017,9/8/2017,A
a1C36000004shkPEAQ,Introduction to English for Hospitality Employees,7/12/2017,11/27/2017,C+
a1C36000004t0qpEAA,Introduction to English for Hospitality Employees,7/12/2017,8/25/2017,A
a1C36000004sotWEAQ,Student Success Skills for Online Learning,7/12/2017,8/11/2017,C
a1C36000004u06HEAQ,Project Management in the Ente,7/12/2017,8/22/2017,
a1C36000004sxgTEAQ,Student Success Skills for Online Learning,7/12/2017,8/11/2017,A
a1C36000004t04KEAQ,Developmental Writing - 8 Week,7/12/2017,9/8/2017,C
a1C36000004u0A6EAI,Social Computing,7/12/2017,11/14/2017,
